
id,reference,theme
59,Matthew 22:37-40,Greatest commandments: love God and neighbor
60,Matthew 28:18-20,The Great Commission
61,Mark 10:45,The Son of Man came to serve
62,Mark 12:29-31,Love God and neighbor summarizes the law
63,Luke 6:27-28,"Love your enemies, bless those who curse"
64,Luke 6:35-36,Be merciful as your Father is merciful
65,Luke 11:9-10,Ask and it will be given
66,Luke 12:6-7,God cares for every detail
67,Luke 12:32,"Do not fear, little flock"
68,Luke 15:3-7,Parable of the lost sheep
69,Luke 15:11-24,Parable of the prodigal son (return home)
70,Luke 19:10,The Son of Man seeks and saves the lost
71,Hebrews 11:1,Faith is assurance of things hoped for
72,Hebrews 12:1-3,"Run with endurance, fixing eyes on Jesus"
73,James 1:2-5,"Joy in trials, wisdom from God"
74,James 1:17,Every good gift from the Father of lights
75,James 4:7-8,"Submit to God, resist the devil"
76,1 Peter 1:3-5,Living hope through Christ's resurrection
77,1 Peter 1:6-9,Joy in trials and unseen Christ
78,1 Peter 3:15,Always be ready to give an answer
79,2 Corinthians 4:16-18,Light momentary affliction vs eternal glory
80,2 Corinthians 12:9-10,Power perfected in weakness
81,1 Thessalonians 5:16-18,"Rejoice, pray, give thanks always"
82,2 Thessalonians 3:3,The Lord is faithful and will strengthen you
83,Jude 1:24-25,God able to keep you from stumbling
84,Revelation 21:3-4,God wipes away every tear
85,Revelation 22:17,"Come, all who are thirsty"
86,Psalm 1:1-3,Tree planted by streams of water
87,Psalm 16:8-11,"God at my right hand, fullness of joy"
88,Psalm 18:1-3,The Lord is my rock and fortress
89,Psalm 19:7-10,Perfection and sweetness of God's law
90,Psalm 23:1-6,The Lord is my shepherd
91,Psalm 27:1,The Lord is my light and salvation
92,Psalm 27:4,Desire to dwell in the house of the Lord
93,Psalm 27:13-14,"Wait for the Lord, be strong"
94,Psalm 34:4-8,The Lord delivers and tastes good
95,Psalm 34:18,The Lord close to the brokenhearted
96,Psalm 37:3-5,"Trust, delight, and commit to the Lord"
97,Psalm 37:23-24,Steps of the righteous ordered by the Lord
98,Psalm 40:1-3,From the pit to a new song
99,Psalm 42:1-2,My soul thirsts for God
100,Psalm 46:1-3,God our refuge and strength
101,Psalm 46:10,Be still and know that I am God
102,Psalm 51:10-12,Create in me a clean heart
103,Psalm 55:22,Cast your burden on the Lord
104,Psalm 56:3-4,"When I am afraid, I trust in You"
105,Psalm 62:1-2,God alone my rock and salvation
106,Psalm 73:25-26,God the strength of my heart
107,Psalm 84:10-12,Better one day in God's courts
108,Psalm 90:12,Teach us to number our days
109,Psalm 91:1-4,Dwelling in the shelter of the Most High
110,Psalm 91:9-11,The Lord your refuge and protection
111,Psalm 100:1-5,Enter His gates with thanksgiving
112,Psalm 103:1-5,"Bless the Lord, who forgives and heals"
113,Psalm 103:8-12,Compassion and forgiveness of God
114,Psalm 121:1-2,My help comes from the Lord
115,Psalm 121:3-8,The Lord keeps your going out and coming in
116,Psalm 139:1-6,God knows me completely
117,Psalm 139:7-10,You are with me everywhere
118,Psalm 139:13-14,Fearfully and wonderfully made
119,Proverbs 1:7,Fear of the Lord is the beginning of knowledge
120,Proverbs 3:3-6,Trust in the Lord with all your heart
121,Proverbs 4:23,Guard your heart above all else
122,Proverbs 9:10,Fear of the Lord is the beginning of wisdom
123,Proverbs 16:3,Commit your work to the Lord
124,Proverbs 16:9,The Lord directs our steps
125,Proverbs 18:10,The name of the Lord is a strong tower
126,Proverbs 19:21,The Lord's purpose prevails
127,Proverbs 27:17,Iron sharpens iron
128,Proverbs 31:25-26,"Strength, dignity, and wise speech"
129,Genesis 1:1,In the beginning God created
130,Genesis 1:26-27,Humanity made in God's image
131,Genesis 12:1-3,God's call and promise to Abram
132,Genesis 50:20,God turns evil for good
133,Exodus 14:13-14,Stand firm and see the Lord's salvation
134,Exodus 20:1-3,Beginning of the Ten Commandments
135,Deuteronomy 6:4-5,The Shema: love the Lord your God
136,Deuteronomy 6:6-7,Teach these words to your children
137,Deuteronomy 31:6,Be strong and courageous; God goes with you
138,Deuteronomy 31:8,The Lord goes before you and will not forsake you
139,Joshua 1:8-9,Be strong and courageous; meditate on the law
140,Joshua 24:15,"As for me and my house, we will serve the Lord"
141,1 Samuel 16:7,The Lord looks at the heart
142,2 Chronicles 7:14,If my people humble themselves and pray
143,Nehemiah 8:10,The joy of the Lord is your strength
144,Isaiah 7:14,Prophecy of Immanuel
145,Isaiah 9:6-7,"A child is born, Prince of Peace"
146,Isaiah 26:3-4,Perfect peace for the mind stayed on God
147,Isaiah 40:28-31,Those who hope in the Lord renew strength
148,Isaiah 41:10,"Fear not, I am with you"
149,Isaiah 43:1-3,"Do not fear, I have redeemed you"
150,Isaiah 53:4-6,The suffering servant bears our sins
151,Isaiah 55:6-9,Seek the Lord while He may be found
152,Jeremiah 17:7-8,Blessed is the one who trusts in the Lord
153,Jeremiah 29:11-13,Plans for hope and a future
154,Lamentations 3:22-23,His mercies are new every morning
155,Lamentations 3:24-26,"The Lord is my portion, I will hope in Him"
156,Daniel 3:16-18,"We will not bow, God can deliver"
157,Daniel 6:26-27,God saves and performs wonders
158,Micah 6:8,"Do justice, love kindness, walk humbly"
159,Habakkuk 3:17-19,Rejoice in the Lord amid loss
160,Zephaniah 3:17,The Lord rejoices over you with singing
161,1 Corinthians 1:18,The cross is God's power to us
162,1 Corinthians 10:13,God provides a way of escape in temptation
163,1 Corinthians 13:4-7,Description of true love
164,1 Corinthians 13:13,"Faith, hope, and love; greatest is love"
165,1 Corinthians 15:3-4,Christ died and was raised according to Scripture
166,1 Corinthians 15:20-22,Christ the firstfruits of resurrection
167,2 Corinthians 1:3-4,God of all comfort
168,Ephesians 4:1-3,Live worthy of the calling with humility
169,Ephesians 4:15-16,"Grow up into Christ, the head"
170,Ephesians 6:10-11,Be strong in the Lord and in His might
171,Ephesians 6:12-13,Our struggle not against flesh and blood
172,Ephesians 6:14-18,Armor of God
173,Philippians 2:5-11,Christ's humility and exaltation
174,Philippians 3:7-9,Counting all loss for Christ
175,Philippians 3:12-14,Pressing on toward the goal
176,Colossians 2:6-7,"Walk in Christ, rooted and built up"
177,1 Thessalonians 4:13-18,Hope in the coming of the Lord
178,2 Timothy 1:7,"Spirit of power, love, and self-control"
179,2 Timothy 2:1-2,Entrust truth to faithful people
180,2 Timothy 4:7-8,"Fought the good fight, finished the race"
181,Titus 2:11-14,Grace trains us to live godly lives
182,Hebrews 6:19-20,Hope as an anchor for the soul
183,Hebrews 13:5-6,God will never leave nor forsake you
184,James 2:14-17,Faith without works is dead
185,James 5:13-16,"Pray in suffering, sickness, and joy"
186,1 Peter 4:8-10,Love deeply and use your gifts
187,2 Peter 1:3-4,God has given all we need for godliness
188,2 Peter 1:5-8,Add to your faith virtue and love
189,1 John 5:11-13,Assurance of eternal life in God's Son
190,Revelation 1:17-18,"Jesus the living One, who was dead and is alive"
191,Matthew 4:4,Man lives by every word from God's mouth
192,Matthew 9:36-38,"The harvest is plentiful, workers few"
193,Luke 9:23-24,"Deny yourself, take up your cross"
194,Luke 24:6-7,He is not here; He has risen
195,John 6:35,Jesus the bread of life
196,John 7:37-38,Come to Jesus and drink
197,Acts 2:38-39,Repent and be baptized in Jesus' name
198,Acts 4:12,No other name by which we must be saved
199,Acts 20:24,Life worth nothing except finishing Christ's task
200,Romans 1:16-17,The gospel is the power of God for salvation
201,Acts 1:8,Empowered by the Spirit to witness
202,Acts 2:17-18,Spirit poured out on all people
203,Acts 2:42-47,"Devoted, generous, worshipping community"
204,Acts 16:31,Believe in the Lord Jesus and be saved
205,Acts 17:26-27,God near to all who seek Him
206,Romans 4:20-21,Abraham’s unwavering faith in God’s promise
207,Romans 5:3-5,Rejoicing in suffering that produces hope
208,Romans 12:9-13,Sincere love and hospitable service
209,Romans 14:17,"God’s kingdom of righteousness, peace, joy"
210,Romans 15:5-7,Unity and acceptance as Christ welcomed us
211,Romans 15:13,God of hope filling us with joy
212,1 Corinthians 2:2,Knowing Christ and Him crucified
213,1 Corinthians 3:11,Christ the only true foundation
214,1 Corinthians 6:19-20,"Your body a temple, glorify God"
215,1 Corinthians 9:24-27,Running the race for an eternal prize
216,1 Corinthians 12:4-7,"Different gifts, same Spirit and purpose"
217,1 Corinthians 12:12-14,One body with many members
218,1 Corinthians 16:13-14,Stand firm and do all in love
219,2 Corinthians 3:17-18,Freedom and transformation by the Spirit
220,2 Corinthians 9:6-8,God loves and blesses cheerful givers
221,2 Corinthians 13:11,"Aim for restoration, live in peace"
222,Galatians 3:26-28,All one in Christ Jesus
223,Galatians 5:1,Christ has set us free
224,Ephesians 1:7-10,Redemption and forgiveness in Christ’s blood
225,Ephesians 1:18-19,Eyes opened to hope and power
226,Ephesians 3:20-21,God able to do abundantly more
227,Ephesians 5:1-2,Imitate God and walk in love
228,Ephesians 5:8-10,Walk as children of light
229,Philippians 1:9-11,Love growing in knowledge and discernment
230,Philippians 2:12-13,God working in us to will and act
231,Colossians 3:23-24,Work wholeheartedly for the Lord
232,1 Thessalonians 2:8,Sharing the gospel and our own lives
233,1 Thessalonians 3:12-13,Grow and overflow in love
234,1 Timothy 1:15,Christ came to save sinners
235,1 Timothy 4:12,Setting an example in speech and life
236,1 Timothy 6:6-7,Godliness with contentment is great gain
237,1 Timothy 6:11-12,Pursue righteousness and fight the good fight
238,2 Timothy 2:11-13,If we endure with Him we will live
239,2 Timothy 3:16-17,Scripture equips us for every good work
240,Titus 1:2,Hope of eternal life promised by God
241,Philemon 1:6,Effective sharing of your faith
242,Hebrews 2:14-15,Christ frees us from fear of death
243,Hebrews 10:24-25,Stir one another up and meet together
244,Hebrews 12:10-11,Fatherly discipline yields peaceful righteousness
245,James 3:13-18,"Wisdom from above, pure and peaceable"
246,1 Peter 1:22-23,Love one another from a pure heart
247,1 Peter 2:4-5,Living stones built into a spiritual house
248,1 Peter 5:10,God Himself restores and strengthens you
249,2 Peter 3:9,"The Lord patient, wanting all to repent"
250,1 John 2:1-2,Jesus our advocate and atoning sacrifice
251,1 John 2:15-17,Do not love the passing world
252,1 John 3:16-18,Love in actions and truth
253,1 John 5:14-15,Confidence that God hears our prayers
254,2 John 1:6,Love means walking in His commands
255,3 John 1:2-4,Joy when children walk in the truth
256,Revelation 3:20,Christ stands at the door and knocks
257,Revelation 7:9-10,Multitude from all nations praising God
258,Revelation 22:1-5,River of life and God’s presence
259,Matthew 1:21,Jesus named for saving His people
260,Matthew 2:10-11,Wise men rejoice and worship Christ
261,Matthew 13:44-46,Treasure and pearl worth everything
262,Matthew 16:24-26,Deny yourself and follow Jesus
263,Matthew 18:19-20,Jesus present where believers agree
264,Matthew 19:26,With God all things are possible
265,Matthew 20:26-28,Greatness expressed through serving others
266,Matthew 24:35,Christ’s words never pass away
267,Mark 1:15,Repent and believe the good news
268,Mark 2:17,"Jesus calls sinners, not the righteous"
269,Mark 8:34-36,Lose your life to truly save it
270,Mark 9:23,Everything possible for the one who believes
271,Mark 11:22-24,Have faith in God when you pray
272,Mark 12:41-44,Widow’s small gift of great value
273,Luke 1:30-33,Promise of Jesus’ eternal kingdom
274,Luke 1:46-50,Mary rejoices in God her Savior
275,Luke 2:10-14,Good news of great joy for all
276,Luke 4:18-19,Good news to the poor and broken
277,Luke 7:47-50,"Much forgiveness, much love"
278,Luke 10:2,Pray for workers in the harvest
279,Luke 10:27-37,Parable of the good Samaritan
280,Luke 18:16-17,Receive the kingdom like a child
281,Luke 22:19-20,This is my body and blood
282,John 2:1-11,Jesus’ first sign at Cana
283,John 4:13-14,Living water that truly satisfies
284,John 5:24,Believing passes from death to life
285,John 8:12,Jesus the light of the world
286,John 8:31-32,"Abide in His word, know the truth"
287,John 10:27-30,My sheep hear My voice and are secure
288,John 12:24-26,Fruit through dying to self
289,John 13:34-35,All know you by your love
290,John 20:19-21,Peace and sending after the resurrection
291,John 20:24-29,Blessed are those who believe without seeing
292,John 21:15-17,"Feed my sheep, restoration of Peter"
293,Genesis 15:5-6,Abraham believed and counted righteous
294,Genesis 28:12-15,God’s presence and promises to Jacob
295,Exodus 33:14,God’s presence goes with you
296,Numbers 6:24-26,The Lord bless you and keep you
297,Deuteronomy 8:2-3,God humbles and feeds with His word
298,Deuteronomy 30:19-20,Choose life by loving the Lord
299,Joshua 3:7-8,God exalts Joshua before the people
300,Joshua 23:14,Not one of God’s promises has failed
301,Judges 6:12-16,The Lord with you in your weakness
302,Ruth 1:16-17,Faithful loyalty and devotion
303,1 Samuel 12:22-24,God will not forsake His people
304,2 Samuel 7:22,No God like the Lord
305,1 Kings 8:57-58,"God with us, inclining our hearts"
306,1 Kings 19:11-13,God’s gentle voice in quietness
307,2 Kings 6:15-17,Those with us are more than with them
308,1 Chronicles 16:8-11,Give thanks and seek the Lord
309,2 Chronicles 16:9,The Lord’s eyes seek loyal hearts
310,Ezra 8:22,God’s gracious hand on those who seek Him
311,Nehemiah 1:5-6,Confession and appeal to God’s covenant love
312,Job 1:21,The Lord gave and has taken away
313,Job 19:25-27,My Redeemer lives; I shall see God
314,Psalm 4:8,Lie down and sleep in peace
315,Psalm 8:3-4,"God mindful of small, frail humanity"
316,Psalm 19:1,Heavens declare the glory of God
317,Psalm 25:4-5,"Teach me Your ways, lead me in truth"
318,Psalm 32:1-2,Blessed whose sin is forgiven
319,Psalm 32:8,God guides and counsels you
320,Psalm 63:1-4,Thirsting for God’s presence
321,Psalm 65:5,God our hope and Savior of the earth
322,Psalm 90:1-2,God our dwelling place through generations
323,Psalm 92:1-2,Good to praise the Lord morning and night
324,Psalm 94:18-19,God’s steadfast love holds us up
325,Psalm 96:1-3,Sing a new song and proclaim His salvation
326,Psalm 98:1-3,God’s salvation revealed to the nations
327,Psalm 112:1,Blessed are those who fear the Lord
328,Psalm 116:1-2,He hears my voice and cry for mercy
329,Psalm 118:24,This is the day the Lord has made
330,Psalm 126:5-6,Those who sow in tears reap with joy
331,Psalm 130:3-4,Forgiveness with God inspires reverent fear
332,Psalm 145:8-9,"The Lord gracious, compassionate, rich in love"
333,Psalm 145:18-19,The Lord near to all who call
334,Psalm 147:3-5,He heals broken hearts and binds wounds
335,Psalm 150:1-6,Let everything that has breath praise the Lord
336,Proverbs 3:9-10,Honor the Lord with your wealth
337,Proverbs 11:25,Refreshing others brings refreshment
338,Proverbs 12:25,A kind word cheers a heavy heart
339,Proverbs 15:1,A gentle answer turns away wrath
340,Proverbs 15:3,The Lord sees everywhere
341,Proverbs 16:24,Gracious words bring sweetness and healing
342,Proverbs 22:6,Train children in the right way
343,Proverbs 24:16,The righteous rise again after falling
344,Proverbs 28:13,Confessing and forsaking sin brings mercy
345,Ecclesiastes 3:1-8,A season for every activity under heaven
346,Ecclesiastes 3:11,God makes everything beautiful in its time
347,Song of Songs 8:6-7,"Love strong as death, unquenchable"
348,Isaiah 1:18,"Though sins are scarlet, they can be white"
349,Isaiah 12:2,God my salvation; I will not fear
350,Isaiah 30:15,In quietness and trust is strength
351,Isaiah 35:3-6,Strengthen the weak; God will come
352,Isaiah 43:18-19,Forget the former things; God does a new thing
353,Isaiah 49:15-16,Engraved on the palms of His hands
354,Isaiah 54:10,Unfailing covenant love that will not be shaken
355,Jeremiah 1:5,Known and set apart before birth
356,Jeremiah 31:3,Everlasting love draws us with kindness
357,Jeremiah 32:17,Nothing is too hard for the Lord
358,Ezekiel 11:19-20,New heart and Spirit to walk in His ways
359,Ezekiel 36:26-27,Heart of stone replaced with heart of flesh
360,Hosea 6:1-3,Return to the Lord; He will heal us
361,Joel 2:12-13,Return with all your heart; God is gracious
362,Joel 2:28-29,God’s Spirit poured out on all people
363,Amos 5:24,Let justice roll like a river
364,Nahum 1:7,"The Lord good, refuge in trouble"
365,Habakkuk 2:4,The righteous live by faith
366,Zechariah 4:6,Not by might but by My Spirit
367,Malachi 3:10,Test Me in generous giving
368,Malachi 4:2,Sun of righteousness rising with healing
369,Matthew 9:12-13,Jesus came to call sinners to repentance
370,Matthew 9:35-36,Compassion for harassed and helpless crowds
371,Matthew 10:29-31,You are worth more than many sparrows
372,Matthew 13:31-32,Kingdom like a mustard seed becoming a tree
373,Matthew 18:12-14,Rejoicing over the one lost sheep
374,Matthew 25:34-40,Serving the least is serving Christ
375,Mark 4:26-29,Kingdom grows in unseen ways
376,Mark 10:27,With God all things are possible
377,Luke 6:38,Give and it will be given to you
378,Luke 8:15,Good soil holds fast and bears fruit
379,Luke 11:28,Blessed are those who hear and obey
380,Luke 14:27,Carry your cross as His disciple
381,Luke 16:10,Faithfulness in little and much
382,Luke 23:42-43,Today you will be with Me in paradise
383,John 11:35-36,Jesus weeps and loves deeply
384,John 14:15,"If you love Me, keep My commands"
385,John 17:20-23,Prayer for unity among believers
386,Acts 3:19-20,"Repent, that times of refreshing may come"
387,Acts 10:34-35,God shows no favoritism among nations
388,Romans 2:4,Kindness of God leads to repentance
389,Romans 11:33-36,Depth of the riches and wisdom of God
390,1 Corinthians 1:9,"God faithful, who called you into fellowship"
391,1 Corinthians 15:58,"Stand firm, your labor not in vain"
392,2 Corinthians 4:5-7,Treasure in jars of clay
393,Galatians 6:2,Bear one another’s burdens
394,Ephesians 2:13-14,"Christ our peace, breaking down dividing walls"
395,Ephesians 4:29-32,Build others up with gracious words
396,Philippians 1:21,"To live is Christ, to die is gain"
397,Philippians 2:3-4,"Humility, valuing others above yourself"
398,Philippians 4:11-13,Content in every circumstance through Christ
399,Colossians 4:2-6,Watchful prayer and gracious speech
400,1 Thessalonians 1:2-3,"Thankful for faith, love, and steadfast hope"
401,Matthew 5:11-12,Rejoicing when persecuted for Christ
402,Matthew 5:23-24,Be reconciled to your brother
403,Matthew 5:43-45,Love your enemies as children of the Father
404,Matthew 9:2,"Take heart, your sins are forgiven"
405,Matthew 10:16,Wise as serpents and innocent as doves
406,Matthew 10:28,"Fear God, not those who kill the body"
407,Matthew 12:18-21,Gentle Servant and hope of the nations
408,Matthew 13:23,Good soil hearing and bearing fruit
409,Matthew 21:9,Hosanna to the Son of David
410,Matthew 26:26-28,This is My body and My blood
411,Mark 1:17,"Come, follow Me and fish for people"
412,Mark 5:34,"Daughter, your faith has healed you"
413,Mark 9:35,First is servant of all
414,Mark 12:30,Love the Lord with all your heart
415,Mark 16:15,Go into all the world and preach the gospel
416,Luke 4:1-4,Jesus resists temptation with God's Word
417,Luke 5:8-11,From fisherman to fisher of men
418,Luke 7:22-23,Good news for the poor and broken
419,Luke 12:15,Guard against greed; life not in possessions
420,Luke 17:5-6,Faith like a mustard seed
421,Luke 18:1,Always pray and not give up
422,Luke 19:41-42,Jesus weeps over a city that missed peace
423,Luke 24:30-32,Hearts burn as He opens the Scriptures
424,John 3:5-8,Born of water and the Spirit
425,John 5:39-40,Scriptures testify about Christ
426,John 6:37,Whoever comes to Me I will never cast out
427,John 6:68-69,You have words of eternal life
428,John 9:4-5,Work while it's day; Jesus the light of the world
429,John 13:14-15,Serve one another as I have served you
430,John 14:18,I will not leave you as orphans
431,John 15:7,Ask whatever you wish as you abide in Me
432,John 16:7,It is good that I go; the Spirit will come
433,John 20:21-22,"As the Father sent Me, I send you"
434,Acts 4:29-31,Boldness through the filling of the Spirit
435,Acts 5:29,We must obey God rather than human beings
436,Acts 9:3-6,Saul’s encounter with the risen Christ
437,Acts 13:2-3,Set apart for the work of mission
438,Acts 20:32,Commended to God and the word of His grace
439,Acts 26:16-18,Sent to open eyes and turn to God
440,Romans 5:10-11,Reconciled to God through His Son
441,Romans 8:5-6,Mind set on the Spirit is life and peace
442,Romans 8:15,"Spirit of adoption crying Abba, Father"
443,Romans 12:14-16,Bless your persecutors and live in harmony
444,Romans 13:8-10,Love fulfills the law
445,Romans 15:1-2,Bear with the weak and please your neighbor
446,1 Corinthians 1:26-29,God chooses the foolish to shame the wise
447,1 Corinthians 4:1-2,"Stewards of mysteries, required to be faithful"
448,1 Corinthians 6:11,"Washed, sanctified, justified in Jesus"
449,1 Corinthians 10:31,Do all to the glory of God
450,1 Corinthians 11:23-26,Proclaiming the Lord's death until He comes
451,1 Corinthians 14:1,Pursue love and eagerly desire spiritual gifts
452,2 Corinthians 1:8-10,"Delivered from deadly peril, hope set on God"
453,2 Corinthians 5:14-15,Christ’s love compels us to live for Him
454,2 Corinthians 7:1,Perfecting holiness in the fear of God
455,2 Corinthians 8:9,Christ's poverty making us rich
456,2 Corinthians 10:3-5,Weapons of our warfare are spiritual
457,Galatians 4:4-7,God sent His Son so we become heirs
458,Galatians 5:13,Use freedom to serve one another in love
459,Ephesians 1:13-14,Sealed with the Spirit as guarantee
460,Ephesians 2:19-22,God's household and holy temple
461,Ephesians 4:4-6,"One body, one Spirit, one hope"
462,Ephesians 4:26-27,Do not let anger give the devil a foothold
463,Ephesians 5:15-17,"Walk wisely, making the most of time"
464,Philippians 1:3-5,Thankful partnership in the gospel
465,Philippians 2:1-2,Unity in Christ and shared love
466,Philippians 2:14-16,Shine as lights in a crooked world
467,Colossians 1:9-12,"Prayer for wisdom, strength and endurance"
468,Colossians 2:9-10,"Fullness of deity in Christ, complete in Him"
469,Colossians 3:5-7,Put to death the earthly nature
470,Colossians 3:15,Let the peace of Christ rule your hearts
471,1 Thessalonians 5:4-6,"Children of the light, stay awake"
472,1 Thessalonians 5:23-24,God sanctifies and is faithful
473,2 Thessalonians 1:11-12,God makes you worthy of His calling
474,2 Thessalonians 2:16-17,Eternal encouragement and good hope
475,1 Timothy 2:1-4,"Pray for all people, God desires all saved"
476,1 Timothy 6:17-19,"Hope in God, be rich in good works"
477,2 Timothy 1:8-9,"Share in suffering, saved by grace"
478,2 Timothy 2:22-24,"Pursue righteousness, avoid foolish quarrels"
479,Titus 3:1-2,"Be gentle, peaceable, ready for every good work"
480,Hebrews 3:12-13,Encourage one another daily
481,Hebrews 7:24-25,Jesus always lives to intercede
482,Hebrews 9:11-12,Christ our high priest with His own blood
483,Hebrews 10:35-36,Do not throw away confidence; persevere
484,Hebrews 12:14,Strive for peace and holiness
485,Hebrews 13:1-2,Keep loving and showing hospitality
486,Hebrews 13:15-16,Continual praise and doing good
487,James 1:16-18,Every good and perfect gift from above
488,James 1:21-22,Receive the word and be doers of it
489,James 2:8,The royal law to love your neighbor
490,James 4:10,Humble yourselves before the Lord
491,1 Peter 1:13-16,Be holy in all your conduct
492,1 Peter 2:11-12,Live honorably among the nations
493,1 Peter 3:8-9,"Be harmonious, compassionate, and bless"
494,1 Peter 5:5,Clothe yourselves with humility
495,2 Peter 1:9-11,Confirm your calling and election
496,2 Peter 3:11-13,Holy conduct as we await new heavens
497,1 John 1:5-7,Walk in the light as He is in the light
498,1 John 3:2-3,We shall be like Him; purify yourself
499,1 John 5:3-4,Love for God and victory over the world
500,Jude 1:20-21,Build yourselves up and keep in God's love
501,Revelation 2:10,Be faithful unto death and receive the crown
502,Revelation 5:9-10,Redeemed from every nation by His blood
503,Revelation 12:10-11,Overcome by the blood of the Lamb
504,Revelation 19:6-8,Marriage supper of the Lamb
505,Revelation 21:5,"Behold, I am making all things new"
506,Genesis 2:7,God breathes life into humanity
507,Genesis 9:12-13,Rainbow as a sign of covenant
508,Genesis 22:7-8,God Himself will provide the lamb
509,Genesis 22:15-18,Blessing to all nations through Abraham's offspring
510,Genesis 28:16-17,Surely the Lord is in this place
511,Genesis 32:26-28,Wrestling with God and receiving a new name
512,Exodus 3:5-6,Holy ground before the God of Abraham
513,Exodus 3:13-15,I AM WHO I AM
514,Exodus 15:1-2,The Lord my strength and song
515,Exodus 19:4-6,"Treasured possession, kingdom of priests"
516,Exodus 34:6-7,The Lord gracious and slow to anger
517,Leviticus 19:2,"Be holy, for I the Lord am holy"
518,Numbers 23:19,God not a man that He should lie
519,Deuteronomy 4:29-31,Seek Him with all your heart and find Him
520,Deuteronomy 10:12-13,"What the Lord requires: fear, love, obedience"
521,Deuteronomy 33:27,The eternal God your refuge
522,Joshua 1:5,I will never leave you nor forsake you
523,Judges 2:1,I will never break My covenant with you
524,Ruth 2:10-12,God rewarding trust under His wings
525,1 Samuel 2:1-2,Hannah's rejoicing in the Lord
526,1 Samuel 3:10,"Speak, Lord, for Your servant is listening"
527,1 Samuel 30:6,Strengthening yourself in the Lord
528,2 Samuel 22:31-32,"God's way perfect, shield for those who trust"
529,1 Kings 8:23,No God like You in heaven or earth
530,1 Kings 18:36-37,"Answer me, O Lord, that they may know You"
531,2 Kings 17:13,Prophets calling to turn from evil
532,1 Chronicles 29:10-13,"Blessed are You, O Lord forever"
533,2 Chronicles 20:12,"We do not know what to do, but our eyes on You"
534,2 Chronicles 20:21,"Give thanks, His love endures forever"
535,Ezra 7:10,"Set heart to study, obey, and teach the law"
536,Nehemiah 4:14,Remember the Lord and fight for your families
537,Esther 4:14,For such a time as this
538,Job 23:10,He knows the way I take; refined as gold
539,Job 36:5,God is mighty but does not despise
540,Psalm 3:3,You are a shield around me
541,Psalm 9:9-10,Refuge for the oppressed who know Your name
542,Psalm 13:5-6,Trusting His love and singing for His salvation
543,Psalm 17:6-7,Show the wonder of Your great love
544,Psalm 18:28,You light my lamp and brighten darkness
545,Psalm 19:14,Words and meditations pleasing in God's sight
